Pair,Expiries,24h Maker Vol.,24h Range,24h Taker Vol.,24h Total Vol.,24h Percentage,Monthly Maker Vol.,Monthly Range,Monthly Taker Vol.,Monthly Total Vol.,Monthly Percentage
FTM-USDT-SWAP,All,412956.3600000000226071,50%-60%,0,412956.3600000000226071,0.003449245077534275,11241655.86000000011744925,30%-40%,16564.82600000000039352,11258220.68600000011784277,0.008130927043313815
GALA-USDT-SWAP,All,176726.2278000000101183,50%-60%,0,176726.2278000000101183,0.005901192139026285,13442574.93230000005552144,30%-40%,6813.6899999999999767,13449388.62230000005549814,0.011642805040833945
GMT-USDT-SWAP,All,767379.463200000011347952,20%-30%,0,767379.463200000011347952,0.012575825020941586,34826190.10359999962095416,30%-40%,568.04099999999998256,34826758.14459999962093672,0.010754912063389596
ICP-USDT-SWAP,All,114558.136199999988882209,30%-40%,0,114558.136199999988882209,0.008595248375742353,3715952.440799999994726666,30%-40%,236.340000000000014076,3716188.780799999994740742,0.008117037826903646
KSM-USDT-SWAP,All,1899.433999999999900867,75%-100%,69.703999999999996362,1969.137999999999897229,0.000353209180846341,448502.524999999987253664,60%-70%,398.949999999999978683,448901.474999999987232347,0.002355005304707982
LINK-USDT-SWAP,All,10366.068000000000087616,70%-75%,0,10366.068000000000087616,0.000926331915077896,4120781.093000000151710949,50%-60%,3898.624000000000101742,4124679.717000000151812691,0.005326214701570738
LRC-USDT-SWAP,All,123546.74799999999045664,60%-70%,49.71199999999999616,123596.4599999999904528,0.002922504104764467,1647423.71100000004321205,50%-60%,301.21000000000000432,1647724.92100000004321637,0.004675007900661983
LTC-USDT-SWAP,All,218725.719999999998294864,30%-40%,0,218725.719999999998294864,0.007159671160739626,7956603.680000000163486727,30%-40%,4545.899999999999820945,7961149.580000000163307672,0.00591978170317071
LUNA-USDT-SWAP,All,null,null,null,null,0,123478158.388959998639809413,20%-30%,98950.374900000003696601,123577108.763859998643506014,0.013744814679025812
MANA-USDT-SWAP,All,17934.32400000000150776,70%-75%,0,17934.32400000000150776,0.001056076058545064,2986575.96400000001497928,50%-60%,4587.09200000000010636,2991163.05600000001508564,0.002958661491621375
MATIC-USDT-SWAP,All,96910.99199999999944272,40%-50%,0,96910.99199999999944272,0.005640054263054365,3858425.0030000000234089,40%-50%,1317.9600000000000648,3859742.9630000000234737,0.004009453541729726
