Pair,Expiries,24h Maker Vol.,24h Range,24h Taker Vol.,24h Total Vol.,24h Percentage,Monthly Maker Vol.,Monthly Range,Monthly Taker Vol.,Monthly Total Vol.,Monthly Percentage
ADA-USDT-SWAP,All,8682.4079999999998656,75%-100%,0,8682.4079999999998656,0.000262607915440251,2100646.6520000000681567,60%-70%,3178.5900000000000825,2103825.2420000000682392,0.001322835708771055
ALGO-USDT-SWAP,All,162596.57599999999319847,30%-40%,0,162596.57599999999319847,0.022343645025943513,6873877.3840000002908185,30%-40%,651.94200000000004578,6874529.32600000029086428,0.011162256581455738
ANT-USDT-SWAP,All,80715.104000000001112216,40%-50%,0,80715.104000000001112216,0.00841761473084697,537241.762999999998539717,50%-60%,131.742000000000006004,537373.504999999998545721,0.003603937585373456
APE-USDT-SWAP,All,728007.788339999970077774,30%-40%,0,728007.788339999970077774,0.01158207204885857,124565889.676970002247256128,10%-20%,10621.8719999999994744,124576511.548970002246730528,0.022890702963688988
ATOM-USDT-SWAP,All,477908.152000000019166742,30%-40%,0,477908.152000000019166742,0.013860368791304534,18597588.906000000203043456,20%-30%,494.200999999999972086,18598083.107000000203015542,0.012630822826945561
AVAX-USDT-SWAP,All,326618.95000000001161105,50%-60%,0,326618.95000000001161105,0.005773539892108563,18342056.77800000042330135,30%-40%,3272.92199999999988336,18345329.70000000042318471,0.010292951470358483
AXS-USDT-SWAP,All,756830.046600000022711785,20%-30%,0,756830.046600000022711785,0.035839739980049908,17499500.024099999952264588,20%-30%,15902.406000000000070507,17515402.430099999952335095,0.016327576036388395
BAT-USDT-SWAP,All,61288.71399999999858637,30%-40%,0,61288.71399999999858637,0.050310375974529311,1458810.58199999997783939,30%-40%,291.01099999999999167,1459101.59299999997783106,0.023537694574127904
BCH-USDT-SWAP,All,366894.144000000015131036,30%-40%,0,366894.144000000015131036,0.017265458005909519,13447737.687000000010120351,20%-30%,2982,13450719.687000000010120351,0.017654125641560245
BSV-USDT-SWAP,All,866905.439999999990412728,10%-20%,0,866905.439999999990412728,0.141884451468103528,3354914.229999999974563016,20%-30%,1998.920000000000115381,3356913.149999999974678397,0.026435024434896753
BTC-USDT-SWAP,All,13627725.669999999325227864,20%-30%,0,13627725.669999999325227864,0.006290183515459717,323906331.855999997429749329,20%-30%,34649.775000000000654837,323940981.630999997430404166,0.005082487229543379
